#First-Come First-Serve
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
15,11204,12,0,True
" "
Average Turn Around Time: 8867
" "
" "
#Round Robin 60
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
1,0,835,775,False
2,63,609,549,False
3,126,738,678,False
4,189,464,404,False
5,252,666,606,False
6,315,289,229,False
7,378,506,446,False
8,441,633,573,False
9,504,724,664,False
10,567,643,583,False
11,630,217,157,False
12,693,372,312,False
13,756,301,241,False
14,819,811,751,False
15,882,912,852,False
16,945,529,469,False
17,1008,618,558,False
18,1071,229,169,False
1,1134,775,715,False
2,1197,549,489,False
3,1260,678,618,False
4,1323,404,344,False
5,1386,606,546,False
6,1449,229,169,False
7,1512,446,386,False
8,1575,573,513,False
9,1638,664,604,False
10,1701,583,523,False
11,1764,157,97,False
12,1827,312,252,False
13,1890,241,181,False
14,1953,751,691,False
15,2016,852,792,False
16,2079,469,409,False
17,2142,558,498,False
18,2205,169,109,False
1,2268,715,655,False
2,2331,489,429,False
3,2394,618,558,False
4,2457,344,284,False
5,2520,546,486,False
6,2583,169,109,False
7,2646,386,326,False
8,2709,513,453,False
9,2772,604,544,False
10,2835,523,463,False
11,2898,97,37,False
12,2961,252,192,False
13,3024,181,121,False
14,3087,691,631,False
15,3150,792,732,False
16,3213,409,349,False
17,3276,498,438,False
18,3339,109,49,False
1,3402,655,595,False
2,3465,429,369,False
3,3528,558,498,False
4,3591,284,224,False
5,3654,486,426,False
6,3717,109,49,False
7,3780,326,266,False
8,3843,453,393,False
9,3906,544,484,False
10,3969,463,403,False
11,4032,37,0,True
12,4058,192,132,False
13,4121,121,61,False
14,4184,631,571,False
15,4247,732,672,False
16,4310,349,289,False
17,4373,438,378,False
18,4436,49,0,True
1,4450,595,535,False
2,4513,369,309,False
3,4576,498,438,False
4,4639,224,164,False
5,4702,426,366,False
6,4765,49,0,True
7,4779,266,206,False
8,4842,393,333,False
9,4905,484,424,False
10,4968,403,343,False
12,5031,132,72,False
13,5094,61,1,False
14,5157,571,511,False
15,5220,672,612,False
16,5283,289,229,False
17,5346,378,318,False
1,5409,535,475,False
2,5472,309,249,False
3,5535,438,378,False
4,5598,164,104,False
5,5661,366,306,False
7,5724,206,146,False
8,5787,333,273,False
9,5850,424,364,False
10,5913,343,283,False
12,5976,72,12,False
13,6039,1,0,True
14,6101,511,451,False
